date,training_goal,session,pattern,exercise,load_lb,load_basis,sets,reps,notes
2026-07-31,Patellar rehab block,Mix,Horizontal push,Incline DB bench,40,per_hand,3,"12,12,12","Six-pattern framework debut; conservative re-entry opener. Top of range clean -> bump to 45 next time"
2026-07-31,Patellar rehab block,Mix,Vertical pull,Lat pulldown,85,total,3,"12,12,12","Re-entry opener. Top of range clean -> bump toward 90-95 (pre-illness 100)"
2026-07-31,Patellar rehab block,Mix,Squat,Goblet squat,53,total,3,"12,12,12","~3s descent (tendon load). Green KB. No knee pain (first loaded knee-dominant since layoff). Load capped by grip not legs -> move to back squat/leg press for real lower loading"
2026-07-31,Patellar rehab block,Mix,Finisher,Pallof press,20,total,2,"12,12","Anti-rotation core; per side; 20 lb cable"
2026-08-03,Patellar rehab block,Upper,Horizontal push,Flat DB bench,45,per_hand,3,"9,9,9","Back at pre-illness working weight; mid-range. Hold 45, chase 3x12 before 50s"
2026-08-03,Patellar rehab block,Upper,Horizontal pull,Chest-supported row,55,per_arm,3,"12,12,12","Technogym plate-loaded, loaded per arm - stated preferred row modality going forward. New baseline (not comparable to old 70/arm machine). Top of range clean -> add a plate (~60/arm) next row session"
2026-08-03,Patellar rehab block,Upper,Vertical press,Seated DB shoulder press,22.5,per_hand,3,"8,9,10","Jumped past pre-illness 20s. Hold 22.5, build to 3x12"
2026-08-03,Patellar rehab block,Upper,Vertical pull,Lat pulldown,95,total,2,"12,13","Warm-up ramp set 90 lb x 12 (not counted). Both working sets at 95 hit top of range -> run all 3 sets at 95 for 3x12, then graduate to 100 (pre-illness)"
2026-08-03,Patellar rehab block,Upper,Finisher,Hammer curl,22.5,per_hand,2,"12,12","Arms superset with OH triceps ext"
2026-08-03,Patellar rehab block,Upper,Finisher,Overhead triceps extension,30,total,2,"12,12","Arms superset with hammer curl"
2026-08-05,Patellar rehab block,Lower,Squat,Back squat,115,total,3,"8,10,8","~3s descent (tendon guardrail). First heavy knee-dominant session back since ~Jul 8/10. Went ABOVE the conservative 95-105 reopen (115) - knee status to confirm; if quiet, legs clearly had it"
2026-08-05,Patellar rehab block,Lower,Hinge,Romanian deadlift,40,per_hand,3,"8,8,8","DB RDL, normal tempo; hip hinge reintroduced. Room to add reps toward 3x10 before load bump"
2026-08-05,Patellar rehab block,Lower,Squat,Split squat,20,per_hand,3,"8,8,9",Single-leg (per side); 20 lb DBs. Reintroduced unilateral work. Near top set 3 -> chase 3x8-9+ then bump
2026-08-05,Patellar rehab block,Lower,Finisher,Banded lateral walk,,total,2,"15,15",Glute-med insurance; red band; per side
